Id,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
1.0,2596.0,51.0,3.0,258.0,0.0,510.0,221.0,232.0,148.0,6279.0,1.0,29.0,5.0
2.0,2590.0,56.0,2.0,212.0,-6.0,390.0,220.0,235.0,151.0,6225.0,1.0,29.0,5.0
3.0,2804.0,139.0,9.0,268.0,65.0,3180.0,234.0,238.0,135.0,6121.0,1.0,12.0,2.0
4.0,2785.0,155.0,18.0,242.0,118.0,3090.0,238.0,238.0,122.0,6211.0,1.0,30.0,2.0
5.0,2595.0,45.0,2.0,153.0,-1.0,391.0,220.0,234.0,150.0,6172.0,1.0,29.0,5.0
6.0,2579.0,132.0,6.0,300.0,-15.0,67.0,230.0,237.0,140.0,6031.0,1.0,29.0,2.0
7.0,2606.0,45.0,7.0,270.0,5.0,633.0,222.0,225.0,138.0,6256.0,1.0,29.0,5.0
8.0,2605.0,49.0,4.0,234.0,7.0,573.0,222.0,230.0,144.0,6228.0,1.0,29.0,5.0
9.0,2617.0,45.0,9.0,240.0,56.0,666.0,223.0,221.0,133.0,6244.0,1.0,29.0,5.0
10.0,2612.0,59.0,10.0,247.0,11.0,636.0,228.0,219.0,124.0,6230.0,1.0,29.0,5.0
11.0,2612.0,201.0,4.0,180.0,51.0,735.0,218.0,243.0,161.0,6222.0,1.0,18.0,5.0
12.0,2886.0,151.0,11.0,371.0,26.0,5253.0,234.0,240.0,136.0,4051.0,1.0,30.0,2.0
13.0,2742.0,134.0,22.0,150.0,69.0,3215.0,248.0,224.0,92.0,6091.0,1.0,30.0,2.0
14.0,2609.0,214.0,7.0,150.0,46.0,771.0,213.0,247.0,170.0,6211.0,1.0,18.0,5.0
15.0,2503.0,157.0,4.0,67.0,4.0,674.0,224.0,240.0,151.0,5600.0,1.0,18.0,5.0
16.0,2495.0,51.0,7.0,42.0,2.0,752.0,224.0,225.0,137.0,5576.0,1.0,16.0,5.0
17.0,2610.0,259.0,1.0,120.0,-1.0,607.0,216.0,239.0,161.0,6096.0,1.0,29.0,5.0
18.0,2517.0,72.0,7.0,85.0,6.0,595.0,228.0,227.0,133.0,5607.0,1.0,18.0,5.0
19.0,2504.0,0.0,4.0,95.0,5.0,691.0,214.0,232.0,156.0,5572.0,1.0,18.0,5.0
20.0,2503.0,38.0,5.0,85.0,10.0,741.0,220.0,228.0,144.0,5555.0,1.0,18.0,5.0
21.0,2501.0,71.0,9.0,60.0,8.0,767.0,230.0,223.0,126.0,5547.0,1.0,18.0,5.0
